_id,DATE,COVID_TEST,DAILY_DELTA_TESTS,DAILY_BASE_TESTS,COVID_COUNT,DAILY_DELTA_CASES,DAILY_BASE_CASES,COVID_DEATHS,DAILY_DELTA_DEATHS,DAILY_BASE_DEATHS,COVID_COUNT_CUMSUM,COVID_DEATHS_CUMSUM,COVID_TEST_CUMSUM
1,2020-02-29T00:00:00,1,0,1,0,0,0,0,0,0,0,0,1
2,2020-03-02T00:00:00,2,0,2,0,0,0,0,0,0,0,0,3
3,2020-03-03T00:00:00,4,0,4,0,0,0,0,0,0,0,0,7
4,2020-03-04T00:00:00,4,0,4,0,0,0,0,0,0,0,0,11
5,2020-03-05T00:00:00,2,0,2,0,0,0,0,0,0,0,0,13
6,2020-03-06T00:00:00,6,0,6,1,0,1,0,0,0,1,0,19
7,2020-03-07T00:00:00,5,0,5,0,0,0,0,0,0,1,0,24
8,2020-03-08T00:00:00,9,0,9,3,0,3,0,0,0,4,0,33
9,2020-03-09T00:00:00,25,0,25,1,0,1,0,0,0,5,0,58
10,2020-03-10T00:00:00,52,0,52,5,0,5,0,0,0,10,0,110
11,2020-03-11T00:00:00,60,0,60,1,0,1,0,0,0,11,0,170
12,2020-03-12T00:00:00,198,0,198,1,0,1,0,0,0,12,0,368
13,2020-03-13T00:00:00,247,0,247,3,0,3,0,0,0,15,0,615
14,2020-03-14T00:00:00,278,0,278,0,0,0,0,0,0,15,0,893
15,2020-03-15T00:00:00,145,0,145,11,0,11,1,0,1,26,1,1038
16,2020-03-16T00:00:00,652,0,652,4,0,4,1,0,1,30,2,1690
17,2020-03-17T00:00:00,742,0,742,9,0,9,2,0,2,39,4,2432
18,2020-03-18T00:00:00,869,0,869,17,0,17,1,0,1,56,5,3301
19,2020-03-19T00:00:00,1082,0,1082,23,0,23,0,0,0,79,5,4383
20,2020-03-20T00:00:00,1736,0,1736,45,0,45,4,0,4,124,9,6119
21,2020-03-21T00:00:00,697,0,697,75,0,75,5,0,5,199,14,6816
22,2020-03-22T00:00:00,1022,0,1022,57,0,57,5,0,5,256,19,7838
23,2020-03-23T00:00:00,1452,0,1452,105,0,105,5,0,5,361,24,9290
24,2020-03-24T00:00:00,1607,0,1607,113,0,113,5,0,5,474,29,10897
25,2020-03-25T00:00:00,2323,0,2323,162,0,162,6,0,6,636,35,13220
26,2020-03-26T00:00:00,2607,0,2607,303,0,303,9,0,9,939,44,15827
27,2020-03-27T00:00:00,2162,0,2162,282,0,282,3,0,3,1221,47,17989
28,2020-03-28T00:00:00,1280,0,1280,288,0,288,11,0,11,1509,58,19269
29,2020-03-29T00:00:00,1632,0,1632,271,0,271,18,0,18,1780,76,20901
30,2020-03-30T00:00:00,1960,0,1960,372,0,372,15,0,15,2152,91,22861
31,2020-03-31T00:00:00,2316,0,2316,406,0,406,22,0,22,2558,113,25177
32,2020-04-01T00:00:00,2540,0,2540,468,0,468,22,0,22,3026,135,27717
33,2020-04-02T00:00:00,2695,0,2695,396,0,396,22,0,22,3422,157,30412
34,2020-04-03T00:00:00,2801,0,2801,513,0,513,32,0,32,3935,189,33213
35,2020-04-04T00:00:00,1636,0,1636,461,0,461,25,0,25,4396,214,34849
36,2020-04-05T00:00:00,1095,0,1095,527,0,527,34,0,34,4923,248,35944
37,2020-04-06T00:00:00,2422,0,2422,556,0,556,25,0,25,5479,273,38366
38,2020-04-07T00:00:00,2783,0,2783,422,0,422,36,0,36,5901,309,41149
39,2020-04-08T00:00:00,3071,0,3071,422,0,422,28,0,28,6323,337,44220
40,2020-04-09T00:00:00,2747,0,2747,558,0,558,37,0,37,6881,374,46967
41,2020-04-10T00:00:00,2728,0,2728,515,0,515,25,0,25,7396,399,49695
42,2020-04-11T00:00:00,1543,0,1543,486,0,486,20,0,20,7882,419,51238
43,2020-04-12T00:00:00,699,0,699,319,0,319,29,0,29,8201,448,51937
44,2020-04-13T00:00:00,3465,2,3463,292,0,292,35,0,35,8493,483,55402
45,2020-04-14T00:00:00,3607,0,3607,417,0,417,46,0,46,8910,529,59009
46,2020-04-15T00:00:00,3301,0,3301,580,0,580,37,0,37,9490,566,62310
47,2020-04-16T00:00:00,3999,0,3999,600,0,600,34,0,34,10090,600,66309
48,2020-04-17T00:00:00,4161,0,4161,505,0,505,36,0,36,10595,636,70470
49,2020-04-18T00:00:00,1757,0,1757,557,0,557,28,0,28,11152,664,72227
50,2020-04-19T00:00:00,1102,0,1102,479,0,479,36,0,36,11631,700,73329
51,2020-04-20T00:00:00,4348,0,4348,385,0,385,38,0,38,12016,738,77677
52,2020-04-21T00:00:00,3852,0,3852,379,0,379,49,0,49,12395,787,81529
53,2020-04-22T00:00:00,3863,0,3863,605,0,605,50,0,50,13000,837,85392
54,2020-04-23T00:00:00,4372,0,4372,644,0,644,38,0,38,13644,875,89764
55,2020-04-24T00:00:00,3555,3,3552,699,0,699,37,0,37,14343,912,93319
56,2020-04-25T00:00:00,2280,0,2280,624,0,624,41,0,41,14967,953,95599
57,2020-04-26T00:00:00,1804,0,1804,950,0,950,34,0,34,15917,987,97403
58,2020-04-27T00:00:00,4738,4,4734,620,0,620,42,0,42,16537,1029,102141
59,2020-04-28T00:00:00,4994,0,4994,595,0,595,34,0,34,17132,1063,107135
60,2020-04-29T00:00:00,5305,0,5305,652,0,652,42,0,42,17784,1105,112440
61,2020-04-30T00:00:00,5513,40,5473,794,0,794,45,0,45,18578,1150,117953
62,2020-05-01T00:00:00,6428,5,6423,652,0,652,35,0,35,19230,1185,124381
63,2020-05-02T00:00:00,3300,0,3300,635,0,635,44,0,44,19865,1229,127681
64,2020-05-03T00:00:00,1817,0,1817,569,0,569,32,0,32,20434,1261,129498
65,2020-05-04T00:00:00,5607,2,5605,525,0,525,38,0,38,20959,1299,135105
66,2020-05-05T00:00:00,6192,33,6159,837,0,837,37,0,37,21796,1336,141297
67,2020-05-06T00:00:00,5648,7,5641,623,0,623,43,0,43,22419,1379,146945
68,2020-05-07T00:00:00,6005,2,6003,639,0,639,34,0,34,23058,1413,152950
69,2020-05-08T00:00:00,6252,4,6248,591,0,591,25,0,25,23649,1438,159202
70,2020-05-09T00:00:00,3237,0,3237,388,0,388,31,0,31,24037,1469,162439
71,2020-05-10T00:00:00,1273,0,1273,464,0,464,34,0,34,24501,1503,163712
72,2020-05-11T00:00:00,6928,0,6928,518,0,518,41,0,41,25019,1544,170640
73,2020-05-12T00:00:00,6586,12,6574,376,0,376,38,0,38,25395,1582,177226
74,2020-05-13T00:00:00,7040,0,7040,604,0,604,26,0,26,25999,1608,184266
75,2020-05-14T00:00:00,7749,0,7749,588,0,588,41,0,41,26587,1649,192015
76,2020-05-15T00:00:00,9205,1,9204,638,0,638,32,0,32,27225,1681,201220
77,2020-05-16T00:00:00,3094,0,3094,496,0,496,29,0,29,27721,1710,204314
78,2020-05-17T00:00:00,1882,0,1882,484,0,484,29,0,29,28205,1739,206196
79,2020-05-18T00:00:00,7981,2,7979,456,0,456,39,1,38,28661,1778,214177
80,2020-05-19T00:00:00,6785,22,6763,557,0,557,29,0,29,29218,1807,220962
81,2020-05-20T00:00:00,6258,62,6196,652,0,652,26,0,26,29870,1833,227220
82,2020-05-21T00:00:00,7121,28,7093,468,0,468,36,0,36,30338,1869,234341
83,2020-05-22T00:00:00,7774,15,7759,495,0,495,16,0,16,30833,1885,242115
84,2020-05-23T00:00:00,2780,1,2779,473,0,473,24,0,24,31306,1909,244895
85,2020-05-24T00:00:00,1787,4,1783,344,0,344,13,1,12,31650,1922,246682
86,2020-05-25T00:00:00,1696,1,1695,359,0,359,21,1,20,32009,1943,248378
87,2020-05-26T00:00:00,7312,18,7294,351,0,351,18,0,18,32360,1961,255690
88,2020-05-27T00:00:00,5921,17,5904,607,0,607,14,0,14,32967,1975,261611
89,2020-05-28T00:00:00,6783,10,6773,482,0,482,17,3,14,33449,1992,268394
90,2020-05-29T00:00:00,7381,3,7378,599,0,599,19,1,18,34048,2011,275775
91,2020-05-30T00:00:00,2755,0,2755,367,0,367,17,1,16,34415,2028,278530
92,2020-05-31T00:00:00,1769,0,1769,287,0,287,13,1,12,34702,2041,280299
93,2020-06-01T00:00:00,7812,63,7749,417,0,417,18,0,18,35119,2059,288111
94,2020-06-02T00:00:00,5508,126,5382,486,0,486,15,1,14,35605,2074,293619
95,2020-06-03T00:00:00,6271,204,6067,431,0,431,21,0,21,36036,2095,299890
96,2020-06-04T00:00:00,5524,1160,4364,510,0,510,19,0,19,36546,2114,305414
97,2020-06-05T00:00:00,3739,3152,587,429,0,429,16,1,15,36975,2130,309153
98,2020-06-06T00:00:00,326,255,71,408,4,404,3,1,2,37383,2133,309479
99,2020-06-07T00:00:00,24,24,0,240,240,0,2,2,0,37623,2135,309503
